Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Product rating count (product.metafields.reviews.rating_count),Closure type (product.metafields.shopify.closure-type),Color (product.metafields.shopify.color-pattern),Shoe features (product.metafields.shopify.shoe-features),Shoe size (product.metafields.shopify.shoe-size),Sneaker style (product.metafields.shopify.sneaker-style),Toe style (product.metafields.shopify.toe-style),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Rwanda,Price / Rwanda,Compare At Price / Rwanda,Status
new-balance740-2,New Balance740,"<p><meta charset=""utf-8""><meta charset=""utf-8""><span>The original 740 was the kind of daily runner that would be worn into the ground with heavy miles and bought all over again. This longtime fan favorite returns from the archives, poised to inspire a whole new generation of devotees. The 740 combines familiar elements of 2000s running-inspiration – an open knit mesh upper, segmented midsole, and a streamlined silhouette – with flourishes like two-tone color mesh and angular overlays, that give the 740 a unique visual identity. Whether you’re discovering, or rediscovering, the 740 is ready to become your next favorite shoe.</span><br></p>",iwanyu.store,Apparel & Accessories > Shoes > Sneakers,"","",true,Shoe size,39,product.metafields.shopify.shoe-size,,,,,,,,0.0,shopify,5,deny,manual,35000,,true,true,,https://cdn.shopify.com/s/files/1/0748/5076/2982/files/u740in2_nb_02_i.webp?v=1746569054,1,"",false,,,,,,,,,,,,,,,lace-up,black,breathable-design,39; 40; 41; 42; 43; 44; 45,athletic,round,,kg,,,true,,,active
new-balance740-2,,,,,,,,,40,,,,,,,,,0.0,shopify,5,deny,manual,35000,,true,true,,https://cdn.shopify.com/s/files/1/0748/5076/2982/files/u740in2_nb_05_i.webp?v=1746569065,2,"",,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
new-balance740-2,,,,,,,,,41,,,,,,,,,0.0,shopify,5,deny,manual,35000,,true,true,,https://cdn.shopify.com/s/files/1/0748/5076/2982/files/u740in2_nb_04_i.webp?v=1746569075,3,"",,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
new-balance740-2,,,,,,,,,42,,,,,,,,,0.0,shopify,5,deny,manual,35000,,true,true,,https://cdn.shopify.com/s/files/1/0748/5076/2982/files/u740in2_nb_03_i.webp?v=1746569082,4,"",,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
new-balance740-2,,,,,,,,,43,,,,,,,,,0.0,shopify,5,deny,manual,35000,,true,true,,https://cdn.shopify.com/s/files/1/0748/5076/2982/files/u740in2_nb_07_i.webp?v=1746569094,5,"",,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
new-balance740-2,,,,,,,,,44,,,,,,,,,0.0,shopify,5,deny,manual,35000,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
new-balance740-2,,,,,,,,,45,,,,,,,,,0.0,shopify,5,deny,manual,33000,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
new-balance740-1,New Balance740,"<p><meta charset=""utf-8""><meta charset=""utf-8""><span>The original 740 was the kind of daily runner that would be worn into the ground with heavy miles and bought all over again. This longtime fan favorite returns from the archives, poised to inspire a whole new generation of devotees. The 740 combines familiar elements of 2000s running-inspiration – an open knit mesh upper, segmented midsole, and a streamlined silhouette – with flourishes like two-tone color mesh and angular overlays, that give the 740 a unique visual identity. Whether you’re discovering, or rediscovering, the 740 is ready to become your next favorite shoe.</span><br></p>",iwanyu.store,Apparel & Accessories > Shoes > Sneakers,"","",true,Shoe size,39,product.metafields.shopify.shoe-size,,,,,,,,0.0,shopify,5,deny,manual,35000,,true,true,,https://cdn.shopify.com/s/files/1/0748/5076/2982/files/u740bo2_nb_02_i.webp?v=1746568976,1,"",false,,,,,,,,,,,,,,,lace-up,black,breathable-design,39; 40; 41; 42; 43; 44; 45,athletic,round,,kg,,,true,,,active
new-balance740-1,,,,,,,,,40,,,,,,,,,0.0,shopify,5,deny,manual,35000,,true,true,,https://cdn.shopify.com/s/files/1/0748/5076/2982/files/u740bo2_nb_05_i.webp?v=1746568984,2,"",,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
new-balance740-1,,,,,,,,,41,,,,,,,,,0.0,shopify,5,deny,manual,35000,,true,true,,https://cdn.shopify.com/s/files/1/0748/5076/2982/files/u740bo2_nb_04_i.webp?v=1746568996,3,"",,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
